ASPLENIACEAE|Asplenium theciferum |Asplenium theciferum (Humb., Bonpl. & Kunth) Mett.|LC|No||Perennial|Epiphyte, herb, lithophyte|0.1|0.18|5|1500|EC, FS, FSA, G, KZN, LIM, M, S, SA, WC
ASPLENIACEAE|Asplenium trichomanes |Asplenium trichomanes L. subsp. quadrivalens D.E.Mey.emend Lovis|LC|No||Perennial|Geophyte, herb, lithophyte|0.1|0.15|250|2000|EC, FS, FSA, KZN, L, M, SA
ASPLENIACEAE|Asplenium varians |Asplenium varians Wall. ex Hook. & Grev. subsp. fimbriatum (Kunze) Schelpe|LC|No||Perennial|Geophyte, herb, lithophyte|0.07|0.17|100|1450|EC, FS, FSA, KZN, L, LIM, M, SA
ASTERACEAE|Athanasia dentata |Athanasia dentata (L.) L.|LC|No||Perennial|Shrub|0.5|1.5|15|1450|EC, FSA, SA, WC
CHENOPODIACEAE|Atriplex semibaccata|Atriplex semibaccata R.Br. var. appendiculata Aellen|LC|No||Annual (occ. perennial)|Dwarf shrub|0.07|0.6|3|1900|EC, FS, FSA, G, KZN, L, LIM, N, NC, NW, SA, WC
ACANTHACEAE|Barleria obtusa |Barleria obtusa Nees|LC|No||Perennial|Dwarf shrub, herb, shrub|0.25|1|5|1585|EC, FSA, G, KZN, LIM, M, NW, S, SA
MESEMBRYANTHEMACEAE|Bergeranthus vespertinus |Bergeranthus vespertinus (A.Berger) Schwantes|LC|No||Perennial|Succulent|0.01|0.05|50|1798|EC, FSA, SA
ASTERACEAE|Berkheya carlinifolia |Berkheya carlinifolia (DC.) Roessler subsp. carlinifolia|LC|No||Perennial|Shrub|0.5|1.5|520|1525|EC, FSA, SA, WC
ASTERACEAE|Berkheya onopordifolia |Berkheya onopordifolia (DC.) O.Hoffm. ex Burtt Davy var. onopordifolia|LC|No||Perennial|Herb|0.3|1|303|2135|EC, FS, FSA, G, KZN, L, M, NW, S, SA
BLECHNACEAE|Blechnum australe |Blechnum australe L. subsp. australe|LC|No||Perennial|Geophyte, herb, lithophyte|0.2|0.34|30|2179|EC, FS, FSA, G, KZN, L, LIM, M, N, NC, S, SA, WC
NYCTAGINACEAE|Boerhavia cordobensis|Boerhavia cordobensis Kuntze|Not Evaluated|No||Annual|Herb|0|0.4|310|1340|EC, FS, FSA, NC, SA, WC
ORCHIDACEAE|Bonatea cassidea |Bonatea cassidea Sond.|LC|No||Perennial|Geophyte, herb|0|0.5|60|1500|EC, FSA, KZN, SA
POACEAE|Bothriochloa insculpta |Bothriochloa insculpta (Hochst. ex A.Rich.) A.Camus|LC|No||Perennial|Graminoid|0|2|10|1600|B, EC, FS, FSA, G, KZN, LIM, M, N, NC, NW, S, SA, WC
