APIACEAE|Pimpinella caffra |Pimpinella caffra (Eckl. & Zeyh.) D.Dietr.|LC|No||Perennial|Herb|0.3|0.8|10|3275|EC, FSA, KZN, L, LIM, M, S, SA
LAMIACEAE|Plectranthus ambiguus |Plectranthus ambiguus (Bolus) Codd|LC|No||Perennial|Dwarf shrub, herb|0.4|1.2|5|1645|EC, FSA, G, KZN, M, S, SA
LAMIACEAE|Plectranthus grallatus |Plectranthus grallatus Briq.|LC|No||Perennial|Herb|0.4|1.5|565|2200|EC, FS, FSA, G, KZN, L, LIM, M, SA
LAMIACEAE|Plectranthus verticillatus |Plectranthus verticillatus (L.f.) Druce|LC|No||Perennial|Herb, succulent|0|0.5|3|1770|EC, FSA, G, KZN, LIM, M, S, SA, WC
POLYPODIACEAE|Pleopeltis macrocarpa |Pleopeltis macrocarpa (Bory ex Willd.) Kaulf.|LC|No||Perennial|Epiphyte, herb, lithophyte|0.05|0.2|50|1900|EC, FS, FSA, G, KZN, L, LIM, M, S, SA, WC
POLYPODIACEAE|Pleopeltis polypodioides |Pleopeltis polypodioides (L.) E.G.Andrews & Windham subsp. ecklonii (Kunze) J.P.Roux|LC|No||[No lifecycle defined]|Epiphyte, herb, lithophyte|0.02|0.2|200|1700|FSA, S, SA
CELASTRACEAE|Pleurostylia capensis|Pleurostylia capensis (Turcz.) Loes.|LC|No||Perennial|Shrub, tree|2|18|30|1640|EC, FSA, KZN, LIM, M, S, SA
PLUMBAGINACEAE|Plumbago capensis |Plumbago capensis Thunb.||No| Plumbago auriculata|[No lifecycle defined]|[No lifeform defined]|0|0|0|0|[No distribution defined]
POACEAE|Poa annua|Poa annua L.|Not Evaluated|No||Annual|Graminoid|0.01|0.3|3|2900|EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
POACEAE|Poa binata |Poa binata Nees|LC|No||Perennial|Graminoid|0.15|0.6|30|3300|EC, FS, FSA, KZN, L, M, SA
POACEAE|Poa pratensis|Poa pratensis L.|Not Evaluated|No||Perennial|Graminoid|0.25|0.6|15|2800|EC, FS, FSA, G, KZN, L, M, SA, WC
PODOCARPACEAE|Podocarpus latifolius |Podocarpus latifolius (Thunb.) R.Br. ex Mirb.|LC|No||Perennial|Tree|1|40|10|2200|EC, FS, FSA, KZN, LIM, M, S, SA, WC
POLYGALACEAE|Polygala macowaniana |Polygala macowaniana Paiva|LC|No||Annual|Herb|0|0.3|0|0|EC, FSA, KZN, SA
POLYGALACEAE|Polygala ohlendorfiana |Polygala ohlendorfiana Eckl. & Zeyh.|LC|No||Perennial|Herb|0.05|0.25|20|2250|EC, FS, FSA, G, KZN, L, LIM, M, S, SA
POLYGALACEAE|Polygala virgata |Polygala virgata Thunb. var. virgata|LC|No||Perennial|Dwarf shrub, shrub|0|1.5|0|80|EC, FS, FSA, G, LIM, M, NC, S, SA, WC
POLYPODIACEAE|Polypodium vulgare|Polypodium vulgare L.|LC|No||Perennial|Epiphyte, herb, lithophyte|0.07|0.2|915|2428|EC, FS, FSA, KZN, L, M, SA, WC
POACEAE|Polypogon monspeliensis |Polypogon monspeliensis (L.) Desf.|Not Evaluated|No||Annual|Graminoid|0.05|0.5|5|1700|B, EC, FS, FSA, G, KZN, N, NC, SA, WC
DRYOPTERIDACEAE|Polystichum incongruum |Polystichum incongruum J.P.Roux|LC|No||Perennial|Geophyte, herb|0.3|0.94|100|1350|EC, FSA, SA, WC
DRYOPTERIDACEAE|Polystichum pungens |Polystichum pungens (Kaulf.) C.Presl|LC|No||Perennial|Geophyte, herb|0.34|0.55|300|2150|EC, FSA, KZN, LIM, M, S, SA, WC
PRIONODONTACEAE|Prionodon densus |Prionodon densus (Sw. ex Hedw.) Müll.Hal.||No||Perennial|Bryophyte, epiphyte|0|0|900|1800|EC, FSA, KZN, LIM, M, SA
MESEMBRYANTHEMACEAE|Psilocaulon granulicaule |Psilocaulon granulicaule (Haw.) Schwantes|LC|No||Perennial (occ. annual)|Succulent|0|0.25|20|1500|EC, FS, FSA, N, NC, SA, WC
PTAEROXYLACEAE|Ptaeroxylon obliquum |Ptaeroxylon obliquum (Thunb.) Radlk.|LC|No||Perennial|Tree|0.1|30|30|1370|B, EC, FSA, KZN, LIM, M, N, S, SA, WC
PTERIDACEAE|Pteridium aquilinum||||||Fern|||||Exotic
PTERIDACEAE|Pteris cretica |Pteris cretica L.|LC|No||Perennial|Geophyte, herb, lithophyte|0.25|0.44|75|1800|EC, FS, FSA, G, KZN, L, LIM, M, NW, S, SA, WC
PTERIDACEAE|Pteris dentata |Pteris dentata Forssk.|LC|No||Perennial|Geophyte, herb|0.4|1.2|30|1725|EC, FSA, G, KZN, LIM, M, N, NW, S, SA, WC
ORCHIDACEAE|Pterygodium magnum|Pterygodium magnum Rchb.f.|LC|No||Perennial|Geophyte, herb|0.6|1.5|500|2000|EC, FS, FSA, KZN, LIM, M, S, SA
HYACINTHACEAE|Resnova lachenalioides |Resnova lachenalioides (Baker) Van der Merwe|LC|No| Ledebouria lachenalioides|Perennial|Geophyte|0|0.25|610|2135|EC, FSA, KZN, SA
RHAMNACEAE|Rhamnus prinoides|Rhamnus prinoides L H,r||||||||||
FABACEAE|Rhynchosia adenodes|Rhynchosia adenodes Eckl. & Zeyh.|LC|No||Perennial|Herb|0.1|0.6|10|2195|EC, FS, FSA, G, KZN, L, LIM, M, NC, NW, SA, WC
FABACEAE|Rhynchosia caribaea|Rhynchosia caribaea (Jacq.) DC.|LC|No||Perennial|Climber, herb|0.3|1|5|2010|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NW, S, SA, WC
RUBIACEAE|Richardia humistrata |Richardia humistrata (Cham. & Schltdl.) Steud.|Not Evaluated|No||Perennial|Herb|0|0.2|700|1800|EC, FS, FSA, G, LIM, SA
ROSACEAE|Rosa rubiginosa |Rosa rubiginosa L.|Not Evaluated|No|Rosa eglanteria|Perennial|Scrambler, shrub|1|3|850|2000|EC, FS, FSA, KZN, L, M, NW, SA, WC
SALICACEAE|Salix mucronata |Salix mucronata Thunb. subsp. mucronata|LC|No||Perennial|Shrub, tree|1.5|3|81|1435|B, FSA, N
CHENOPODIACEAE|Salsola kali |Salsola kali L.|Not Evaluated|No||Annual|Herb|0.4|0.6|0|0|EC, FSA, G, M, N, NC, NW, SA, WC
LAMIACEAE|Salvia repens|Salvia repens Burch. ex Benth. var. repens|LC|No||Perennial|Herb|0.25|0.8|15|2440|EC, FS, FSA, G, KZN, L, LIM, M, NW, SA, WC
LAMIACEAE|Salvia stenophylla |Salvia stenophylla Burch. ex Benth.||No||Perennial|Herb|0.2|0.6|364|2150|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, SA, WC
ASTERACEAE|Schkuhria pinnata|Schkuhria pinnata (Lam.) Kuntze ex Thell.|Not Evaluated|No||Annual|Herb|0.15|0.6|5|2125|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, S, SA, WC
CYPERACEAE|Schoenoplectus paludicola |Schoenoplectus paludicola (Kunth) Palla|LC|No||Perennial|Cyperoid, emergent hydrophyte, helophyte, herb|0.34|0.91|60|1524|EC, FSA, KZN, M, SA, WC
CYPERACEAE|Schoenoxiphium lehmannii |Schoenoxiphium lehmannii (Nees) Steud.|LC|No||Perennial|Cyperoid, herb, mesophyte|0|0.6|120|1510|EC, FS, FSA, G, KZN, LIM, M, NW, SA, WC
ACANTHACEAE|Sclerochiton odoratissimus|Sclerochiton odoratissimus Hilliard|LC|No||Perennial|Shrub|1.5|2|550|1525|EC, FSA, KZN, SA
RHAMNACEAE|Scutia myrtina |Scutia myrtina (Burm.f.) Kurz|LC|No||Perennial|Shrub, tree|1|8|5|1830|EC, FSA, KZN, LIM, M, S, SA, WC
ANACARDIACEAE|Searsia dentata|Searsia dentata (Thunb.) F.A.Barkley|LC|No|Rhus dentata|Perennial|Shrub, tree|0.5|6|15|2500|EC, FS, FSA, G, KZN, L, LIM, M, NW, S, SA
ANACARDIACEAE|Searsia dregeana |Searsia dregeana (Sond.) Moffett|LC|No||Perennial|Shrub|0.6|2|550|2175|EC, FS, FSA, L, SA
ANACARDIACEAE|Searsia gueinzii |Searsia gueinzii (Sond.) F.A.Barkley|LC|No|Rhus gueinzii|Perennial|Shrub, tree|1|7|12|1280|EC, FSA, KZN, LIM, M, S, SA
ANACARDIACEAE|Searsia laevigata |Searsia laevigata (L.) F.A.Barkley var. laevigata forma laevigata|Not Evaluated|No||Perennial|Shrub, tree|1|2.5|5|1675|EC, FSA, NC, SA, WC
ANACARDIACEAE|Searsia lucida |Searsia lucida (L.) F.A.Barkley forma lucida|Not Evaluated|No|Rhus lucida|Perennial|Shrub, tree|0.5|3|5|2135|EC, FSA, KZN, L, LIM, M, SA, WC
ANACARDIACEAE|Searsia pallens |Searsia pallens (Eckl. & Zeyh.) Moffett|LC|No|Rhus pallens|Perennial|Shrub, tree|0.5|3|10|2600|B, EC, FS, FSA, G, KZN, L, NW, SA, WC
ANACARDIACEAE|Searsia undulata |Searsia undulata (Jacq.) T.S.Yi, A.J.Mill. & J.Wen|LC|No||Perennial|Shrub|0.5|3|20|1250|FSA, N, NC, SA, WC
GENTIANACEAE|Sebaea sedoides |Sebaea sedoides Gilg var. confertiflora (Schinz) Marais|LC|No||Annual|Herb|0.15|0.64|460|2440|EC, FS, FSA, KZN, L, LIM, M, S, SA
SCROPHULARIACEAE|Selago corymbosa |Selago corymbosa L.|LC|No||Perennial|Dwarf shrub, shrub|0.3|1|0|1050|EC, FSA, SA, WC
SCROPHULARIACEAE|Selago galpinii |Selago galpinii Schltr.|LC|No||Perennial|Herb|0|0|1500|2575|EC, FS, FSA, KZN, L, M, SA
SCROPHULARIACEAE|Selago geniculata|Selago geniculata L.f.|LC|No||Perennial|Dwarf shrub|0.1|0.5|0|1500|EC, FS, FSA, NC, NW, SA, WC
ASTERACEAE|Senecio oxyodontus |Senecio oxyodontus DC.|LC|No||Perennial|Herb, shrub, succulent|0.2|1|100|1675|EC, FSA, KZN, SA
ASTERACEAE|Senecio speciosus |Senecio speciosus Willd.|LC|No||Perennial|Herb|0.15|0.75|10|3200|EC, FS, FSA, KZN, L, LIM, M, S, SA, WC
POACEAE|Setaria nigrirostris |Setaria nigrirostris (Nees) T.Durand & Schinz|LC|No||Perennial|Graminoid|0|1.2|150|2000|EC, FS, FSA, G, KZN, L, LIM, M, NW, S, SA
POACEAE|Setaria pallide-fusca |Setaria pallide-fusca (Schumach.) Stapf & C.E.Hubb.||No| Setaria pumila|Annual|Graminoid|0.2|0.89|5|2300|FS, FSA, KZN, L, N, S, SA
POACEAE|Setaria sphacelata |Setaria sphacelata (Schumach.) Stapf & C.E.Hubb. ex M.B.Moss var. sphacelata|LC|No||Perennial|Graminoid|0|1|10|1900|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NW, S, SA, WC
MALVACEAE|Sida rhombifolia |Sida rhombifolia L. subsp. rhombifolia|LC|No||Annual or biennial|Dwarf shrub, herb, shrub|0.11|1.03|5|2100|B, EC, FS, FSA, G, KZN, L, LIM, M, NC, NW, S, SA
MALVACEAE|Sida ternata |Sida ternata L.f.|LC|No||Annual|Herb|0.1|0.75|15|1695|EC, FS, FSA, G, KZN, LIM, M, NC, NW, SA, WC
CARYOPHYLLACEAE|Silene burchellii |Silene burchellii Otth var. angustifolia Sond.|Not Evaluated|No||Perennial|Herb|0.05|0.4|600|2425|EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
SOLANACEAE|Solanum coccineum |Solanum coccineum Jacq.||No| Solanum tomentosum var. coccineum|[No lifecycle defined]|[No lifeform defined]|0|0|0|0|FSA, SA
SOLANACEAE|Solanum lichtensteinii |Solanum lichtensteinii Willd.|LC|No||Perennial|Dwarf shrub, shrub|0.3|2|150|1950|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA
SOLANACEAE|Solanum tomentosum |Solanum tomentosum L. var. tomentosum|LC|No||Perennial|Dwarf shrub, herb, shrub|0.5|1.5|10|1785|EC, FS, FSA, L, NC, SA, WC
HYPOXIDACEAE|Spiloxene trifurcillata|Spiloxene trifurcillata (Nel) Fourc.|LC|No||Perennial|Geophyte|0.02|0.1|20|300|EC, FSA, SA
POACEAE|Sporobolus africanus |Sporobolus africanus (Poir.) Robyns & Tournay|LC|No||Perennial|Graminoid|0|1.5|5|2200|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NW, S, SA, WC
POACEAE|Sporobolus fimbriatus |Sporobolus fimbriatus (Trin.) Nees|LC|No||Perennial|Graminoid|0|1.6|10|2200|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, SA, WC
LAMIACEAE|Stachys aethiopica |Stachys aethiopica L.|LC|No||Perennial|Herb|0|0|5|2438|EC, FSA, LIM, M, NC, SA, WC
LAMIACEAE|Stachys grandifolia|Stachys grandifolia E.Mey. ex Benth.|LC|No||Perennial|Herb|0|1|371|2135|EC, FSA, KZN, L, LIM, M, S, SA
THELYPTERIDACEAE|Stegnogramma pozoi |Stegnogramma pozoi (Lag.) K.Iwats.|LC|No||Perennial|Geophyte, herb, lithophyte|0.2|0.4|50|1200|EC, FSA, KZN, LIM, M, S, SA, WC
ORCHIDACEAE|Stenoglottis fimbriata|Stenoglottis fimbriata Lindl. subsp. fimbriata|LC|No||Perennial|Geophyte, herb, lithophyte|0.1|0.44|185|1890|EC, FSA, KZN, LIM, M, S, SA
POACEAE|Stiburus conrathii|Stiburus conrathii Hack.|LC|No||Perennial|Graminoid|0|0.5|1400|2400|FS, FSA, G, KZN, L, M, S, SA
POACEAE|Stipa dregeana |Stipa dregeana Steud. var. dregeana|LC|No||Perennial|Graminoid|0|2|5|1800|EC, FSA, SA, WC
GESNERIACEAE|Streptocarpus rexii |Streptocarpus rexii (Bowie ex Hook.) Lindl.|LC|No||Perennial|Epiphyte, herb, lithophyte|0.07|0.3|200|1550|EC, FSA, KZN, SA, WC
POTTIACEAE|Syntrichia fragilis|Syntrichia fragilis (Taylor) Ochyra||No||Perennial|Bryophyte, epiphyte|1|1.5|25|2900|EC, FS, FSA, KZN, L, LIM, M, N, NC, S, SA, WC
PORTULACACEAE|Talinum caffrum |Talinum caffrum (Thunb.) Eckl. & Zeyh.|LC|No||Annual (occ. perennial)|Dwarf shrub, herb, succulent|0.02|0.6|50|2750|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
FABACEAE|Tephrosia capensis|Tephrosia capensis (Jacq.) Pers. var. capensis|LC|No||Perennial|Dwarf shrub, herb, shrub|0.1|3|945|1983|EC, FS, FSA, G, KZN, L, LIM, M, NW, SA, WC
POACEAE|Tetrachne dregei |Tetrachne dregei Nees|LC|No||Perennial|Graminoid|0.31|0.86|1400|2500|EC, FS, FSA, L, NC, SA, WC
LAMIACEAE|Teucrium africanum |Teucrium africanum Thunb.|LC|No||Perennial|Dwarf shrub|0.1|0.3|15|1465|EC, FSA, SA, WC
POACEAE|Themeda triandra |Themeda triandra Forssk.|LC|No||Perennial|Graminoid|0.3|2|2|2500|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
POACEAE|Tragus berteronianus |Tragus berteronianus Schult.|LC|No||Annual|Graminoid|0|0.6|6|2300|B, EC, FS, FSA, G, KZN, LIM, M, N, NC, NW, S, SA, WC
ZYGOPHYLLACEAE|Tribulus terrestris|Tribulus terrestris L.|LC|No||Annual|Herb|0.01|0.2|25|2130|B, EC, FS, FSA, G, KZN, LIM, M, N, NC, NW, S, SA, WC
POTTIACEAE|Trichostomum brachydontium |Trichostomum brachydontium Bruch||No||Perennial|Bryophyte|0.4|2.59|0|2860|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
SALICACEAE|Trimeria trinervis |Trimeria trinervis Harv.|LC|No||Perennial|Tree|0.07|5|305|1700|EC, FSA, KZN, M, SA
POACEAE|Triraphis andropogonoides |Triraphis andropogonoides (Steud.) E.Phillips|LC|No||Perennial|Graminoid|0|1.22|70|1900|B, EC, FS, FSA, G, KZN, LIM, M, NC, NW, SA, WC
POACEAE|Tristachya leucothrix|Tristachya leucothrix Trin. ex Nees|LC|No||Perennial|Graminoid|0|1.2|70|2400|EC, FS, FSA, G, KZN, L, LIM, M, NW, S, SA, WC
IRIDACEAE|Tritonia gladiolaris |Tritonia gladiolaris (Lam.) Goldblatt & J.C.Manning|LC|No||[No lifecycle defined]|[No lifeform defined]|0|0|0|0|EC, FSA, KZN, L, M, SA, WC
IRIDACEAE|Tritonia securigera |Tritonia securigera (Aiton) Ker Gawl.||No| Tritonia securigera subsp. securigera|Perennial|Geophyte, herb|0.15|0.3|305|667|EC, FSA, SA, WC
VERBENACEAE|Verbena bonariensis|Verbena bonariensis L.|Not Evaluated|No||Annual|Herb|1|2|46|2135|B, EC, FS, FSA, G, KZN, L, LIM, M, NC, NW, S, SA, WC
ASTERACEAE|Verbesina encelioides |Verbesina encelioides (Cav.) Benth. & Hook. var. encelioides|Not Evaluated|No||Annual|Herb|0.5|1|90|1465|B, FSA, LIM, N, NC, NW, SA
VISCACEAE|Viscum continuum |Viscum continuum E.Mey. ex Sprague|LC|No||Perennial|Parasite, shrub, succulent|1|1.5|90|1020|EC, FSA, SA, WC
VISCACEAE|Viscum crassulae |Viscum crassulae Eckl. & Zeyh.|LC|No||Perennial|Dwarf shrub, parasite, succulent|0.2|0.3|155|550|EC, FSA, SA, WC
CAMPANULACEAE|Wahlenbergia cuspidata|Wahlenbergia cuspidata Brehmer|LC|No||Perennial|Herb|0.3|0.6|1220|2670|EC, FSA, KZN, SA
CAMPANULACEAE|Wahlenbergia undulata|Wahlenbergia undulata (L.f.) A.DC.|LC|No||Perennial|Herb|0.15|1|5|3200|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
IRIDACEAE|Watsonia amatolae |Watsonia amatolae Goldblatt|Rare|No||Perennial|Geophyte, herb|0.4|0.6|0|1494|EC, FSA, SA
ASTERACEAE|Xanthium spinosum |Xanthium spinosum L.|Not Evaluated|No||Annual|Herb|0|1|45|1620|B, EC, FS, FSA, G, KZN, L, LIM, M, NC, NW, SA, WC
APOCYNACEAE|Xysmalobium parviflorum|Xysmalobium parviflorum Harv. ex Scott-Elliot|LC|No||Perennial|Herb, succulent|0.11|0.31|900|2100|EC, FS, FSA, G, KZN, L, LIM, M, SA
SCROPHULARIACEAE|Zaluzianskya spathacea |Zaluzianskya spathacea (Benth.) Walp.|LC|No||Perennial|Herb|0|0|915|2650|EC, FS, FSA, KZN, L, M, S, SA, TVL
RHAMNACEAE|Ziziphus mucronata |Ziziphus mucronata Willd. subsp. mucronata|LC|No||Perennial|Shrub, tree|1|20|15|2000|B, EC, FS, FSA, G, KZN, LIM, M, N, NC, NW, S, SA
FABACEAE|Zornia capensis|Zornia capensis Pers. subsp. capensis|LC|No||Perennial|Herb|0.05|3|5|2000|EC, FS, FSA, G, KZN, LIM, M, NC, NW, S, SA
